`"`ABSCHNITTS_ID`"`,`"`LAENGE`"`,`"`START_KOORDINATE`"`,`"`ZIEL_KOORDINATE`"`,`"`NAME`"`,`"`ABSCHNITTSTYP`"`
`"`964`"`,`"`10100,00`"`,`"`53.313 7.46`"`,`"`53.368 7.348`"`,`"`Neermoor - Riepe`"`,`"`A31`"`
`"`1244`"`,`"`3200,00`"`,`"`52.143 8.158`"`,`"`52.118 8.18`"`,`"`Hilter a.T.W. - Dissen/Bad Rothenfelde`"`,`"`A33`"`
`"`1952`"`,`"`8500,00`"`,`"`53.066 7.238`"`,`"`53.138 7.274`"`,`"`Rhede (Ems) - Papenburg`"`,`"`A31`"`
`"`2008`"`,`"`6600,00`"`,`"`52.758 7.163`"`,`"`52.814 7.191`"`,`"`Wesuwe - Haren (Ems)`"`,`"`A31`"`
`"`2103`"`,`"`4500,00`"`,`"`53.487 8.004`"`,`"`53.526 8.006`"`,`"`Sande - Wilhelmshavener Kreuz`"`,`"`A29`"`
`"`2934`"`,`"`8900,00`"`,`"`52.987 7.251`"`,`"`53.066 7.238`"`,`"`Dörpen - Rhede (Ems)`"`,`"`A31`"`
`"`3753`"`,`"`2500,00`"`,`"`53.264 7.46`"`,`"`53.266 7.498`"`,`"`Leer-Nord - Leer Dreieck`"`,`"`A31`"`
`"`5475`"`,`"`600,00`"`,`"`52.463 13.445`"`,`"`52.464 13.454`"`,`"`Buschkrugallee - Neukölln Dreieck`"`,`"`A100`"`
`"`5721`"`,`"`900,00`"`,`"`52.495 13.286`"`,`"`52.502 13.28`"`,`"`Kurfürstendamm - Funkturm Dreieck/AS Messedamm`"`,`"`A100`"`
